Nombre,Tipo 1,Tipo 2,Ataque,Defensa,Velocidad,PS
Omastar,Roca,Agua,60,125,55,70
Kabuto,Roca,Agua,80,90,55,30
Kabutops,Roca,Agua,115,105,80,60
Aerodactyl,Roca,Volador,105,65,130,80
Snorlax,Normal,No posee,110,65,30,160
Articuno,Hielo,Volador,85,100,85,90
Zapdos,Eléctrico,Volador,90,85,100,90
Moltres,Fuego,Volador,100,90,90,90
Dratini,Dragón,No posee,64,45,50,41
Dragonair,Dragón,No posee,84,65,70,61
Dragonite,Dragón,Volador,134,95,80,91
Mewtwo,Psiquico,No posee,110,90,130,106
Mew,Psiquico,No posee,100,100,100,100
